origin,destination,flights,origin_lat,origin_lon,destination_lat,destination_lon
EBBR,VABB,6,50.892426,4.495041,19.090235,72.853151
EDDB,KTEB,6,52.343674,13.461075,40.850544,-74.064697
EKCH,KPHL,6,55.631653,12.677224,39.868881,-75.240465
KAFW,KMDW,6,33.19249,-97.198187,41.7848,-87.752194
KBFI,LSZH,6,47.458901,-122.307833,47.463867,8.546883
KDAB,KMIA,6,29.075684,-81.267823,25.78363,-80.373077
KDAL,KEWR,6,32.834524,-96.666601,40.698946,-74.164488
KDAL,KJFK,6,32.834524,-96.666601,40.626115,-73.782432
KDFW,RJBB,6,32.899747,-97.073037,34.468627,135.305672
KFLL,SBGR,6,26.077011,-80.175787,-23.491629,-46.672847
KHHR,LIMC,6,33.935806,-118.398257,45.590836,8.74438
KIAD,LLBG,6,38.938037,-77.436264,32.004093,34.891163
KIAD,ZBAA,6,38.938037,-77.436264,41.074855,114.603008
KIWA,KSFO,6,33.267838,-111.814783,37.622192,-122.377739
KJFK,KMDW,6,40.626115,-73.782432,41.7848,-87.752194
KJFK,RJAA,6,40.626115,-73.782432,35.288223,144.953327
KMIA,KSNA,6,25.78363,-80.373077,33.675053,-117.869274
KTEB,LGAT,6,40.850544,-74.064697,36.249343,24.156072
RJBH,RJBH,6,35.386002,132.966728,35.386002,132.966728
CYUL,KBWI,5,45.49585,-73.691319,39.177017,-76.729829
CYUL,KDAL,5,45.49585,-73.691319,32.834524,-96.666601
CYUL,KIND,5,45.49585,-73.691319,39.74807,-86.307007
CYUL,KMDW,5,45.49585,-73.691319,41.7848,-87.752194
CYVR,KADS,5,49.182449,-123.140822,33.030116,-96.838653
EBBR,EDDL,5,50.892426,4.495041,51.274567,6.741448
EBBR,KHHR,5,50.892426,4.495041,33.935806,-118.398257
EDDL,EGSS,5,51.274567,6.741448,51.883644,0.232735
EGLL,KBTF,5,51.352575,-0.5470079999999999,40.802456,-111.976364
EGSS,KJFK,5,51.883644,0.232735,40.626115,-73.782432
EGSS,KPHL,5,51.883644,0.232735,39.868881,-75.240465
KADS,KFLL,5,33.030116,-96.838653,26.077011,-80.175787
KADS,KMIA,5,33.030116,-96.838653,25.78363,-80.373077
KADS,KPHL,5,33.030116,-96.838653,39.868881,-75.240465
KAFW,KNZY,5,33.19249,-97.198187,32.734219,-117.192381
KAUS,KLGA,5,30.398041,-97.566875,40.779353,-73.872351
KBFI,ZBAA,5,47.458901,-122.307833,41.074855,114.603008
KIAH,LIMC,5,29.97757,-95.277961,45.590836,8.74438
KIND,LFPB,5,39.74807,-86.307007,48.99502,2.534156
KMDW,LFPB,5,41.7848,-87.752194,48.99502,2.534156
KSNA,PHNL,5,33.675053,-117.869274,21.325289,-157.93026
KTEB,LEBL,5,40.850544,-74.064697,41.298569,2.082809
KTEB,LPPT,5,40.850544,-74.064697,38.779919,-9.136684
LTFM,RJBB,5,41.174337,28.709148,34.468627,135.305672
WSSS,WSSS,5,1.394938,103.996914,1.394938,103.996914
CYVR,KCLT,4,49.182449,-123.140822,35.173521,-80.931816
CYYC,KIWA,4,51.129936,-113.990373,33.267838,-111.814783
CYYZ,ESSA,4,43.665475,-79.611544,59.625363,17.908851
CYYZ,KADS,4,43.665475,-79.611544,33.030116,-96.838653
CYYZ,RJBH,4,43.665475,-79.611544,35.386002,132.966728
EDDL,KJFK,4,51.274567,6.741448,40.626115,-73.782432
EDDL,KTEB,4,51.274567,6.741448,40.850544,-74.064697
EGSS,KBOS,4,51.883644,0.232735,42.37329,-71.006954
EGSS,VABB,4,51.883644,0.232735,19.090235,72.853151
KADS,KDTW,4,33.030116,-96.838653,42.24678,-83.33854
KADS,KLGA,4,33.030116,-96.838653,40.779353,-73.872351
KADS,KNZY,4,33.030116,-96.838653,32.734219,-117.192381
KADS,KRDU,4,33.030116,-96.838653,35.883396,-78.774193
KADS,KSFO,4,33.030116,-96.838653,37.622192,-122.377739
KADS,KSLC,4,33.030116,-96.838653,40.62038,-111.994507
KAFW,KBTF,4,33.19249,-97.198187,40.802456,-111.976364
KAFW,KSNA,4,33.19249,-97.198187,33.675053,-117.869274
KBOS,KSNA,4,42.37329,-71.006954,33.675053,-117.869274
KDAB,KDAL,4,29.075684,-81.267823,32.834524,-96.666601
KDAB,KMDW,4,29.075684,-81.267823,41.7848,-87.752194
KDAL,KIWA,4,32.834524,-96.666601,33.267838,-111.814783
KDEN,KTEB,4,39.847028,-104.641541,40.850544,-74.064697
KIWA,KMSP,4,33.267838,-111.814783,44.886354,-93.20573
KIWA,KTEB,4,33.267838,-111.814783,40.850544,-74.064697
KLGA,KSFO,4,40.779353,-73.872351,37.622192,-122.377739
KMCO,LEMD,4,28.432892,-81.295817,40.481779,-3.544511
KSNA,KTPA,4,33.675053,-117.869274,27.986519,-82.541576
KTEB,LOWW,4,40.850544,-74.064697,48.109947,16.578643
LEMD,LTAI,4,40.481779,-3.544511,36.915925,30.823875
LFPB,RJAA,4,48.99502,2.534156,35.288223,144.953327
LLBG,VOBL,4,32.004093,34.891163,13.189133,77.761423
CYVR,KIND,3,49.182449,-123.140822,39.74807,-86.307007
CYYC,KMDW,3,51.129936,-113.990373,41.7848,-87.752194
EGCC,KTEB,3,53.343761,-2.286647,40.850544,-74.064697
EGKK,KEWR,3,51.146713,-0.201094,40.698946,-74.164488
EGKK,LLBG,3,51.146713,-0.201094,32.004093,34.891163
EGSS,KBNA,3,51.883644,0.232735,36.097583,-86.690252
EGSS,KEWR,3,51.883644,0.232735,40.698946,-74.164488
EGSS,VIDP,3,51.883644,0.232735,28.513339,77.239541
KADS,KATL,3,33.030116,-96.838653,33.631805,-84.436924
KADS,KBOS,3,33.030116,-96.838653,42.37329,-71.006954
KADS,KIWA,3,33.030116,-96.838653,33.267838,-111.814783
KADS,KMCO,3,33.030116,-96.838653,28.432892,-81.295817
KADS,KPDX,3,33.030116,-96.838653,45.586756,-122.599903
KAFW,KBOS,3,33.19249,-97.198187,42.37329,-71.006954
KAFW,KCLT,3,33.19249,-97.198187,35.173521,-80.931816
KAFW,KPHL,3,33.19249,-97.198187,39.868881,-75.240465
KAFW,PHNL,3,33.19249,-97.198187,21.325289,-157.93026
KAUS,KDAB,3,30.398041,-97.566875,29.075684,-81.267823
KAUS,KIWA,3,30.398041,-97.566875,33.267838,-111.814783
KBFI,RJBB,3,47.458901,-122.307833,34.468627,135.305672
KBNA,LEPA,3,36.097583,-86.690252,39.772137,3.064087
KBNA,LFPB,3,36.097583,-86.690252,48.99502,2.534156
KCLT,LFPG,3,35.173521,-80.931816,48.99637,2.629346
KDAB,ZBAA,3,29.075684,-81.267823,41.074855,114.603008
KDTW,LLBG,3,42.24678,-83.33854,32.004093,34.891163
KFLL,LEBL,3,26.077011,-80.175787,41.298569,2.082809
KFLL,LEMD,3,26.077011,-80.175787,40.481779,-3.544511
KIND,KSNA,3,39.74807,-86.307007,33.675053,-117.869274
